City,Brand,Model,Year,Type,Color,Displacement,HP,Fuel type,Mielage,Transmission,Drivetrain,New,Price
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,156 a.g.,Benzin,59 500 km,Avtomat,Arxa,Xeyr,32700 $
Bakı,Mercedes,C 180,2018,Sedan,Qara,1.6 L,150 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,50999 $
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 200,1994,Sedan,Boz,2.0 L,136 a.g.,Benzin,369 909 km,Avtomat,Arxa,Xeyr,9000 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,136 a.g.,Benzin,232 000 km,Avtomat,Arxa,Xeyr,12900 AZN
Xaçmaz,Mercedes,C 300,2007,Sedan,Ağ,3.0 L,231 a.g.,Benzin,193 000 km,Avtomat,Arxa,Xeyr,21500 AZN
Bakı,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,450 000 km,Avtomat,Ön,Xeyr,12500 AZN
Bakı,Mercedes,C 180,1995,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,385 067 km,Avtomat,Arxa,Xeyr,7900 AZN
Sumqayıt,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,333 000 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 240,2001,Sedan,Boz,2.6 L,177 a.g.,Benzin,228 000 km,Avtomat,Arxa,Xeyr,9700 AZN
Sumqayıt,Mercedes,C 180,1997,Sedan,Göy,1.8 L,122 a.g.,Benzin,336 000 km,Avtomat,Arxa,Xeyr,10700 AZN
Sumqayıt,Mercedes,C 180,1999,Universal,Göy,1.8 L,122 a.g.,Benzin,420 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,250 000 km,Mexaniki,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 220,1994,Sedan,Yaş Asfalt,2.2 L,146 a.g.,Benzin,40 000 km,Avtomat,Arxa,Xeyr,8700 AZN
Bakı,Mercedes,C 250,2013,Sedan,Qara,2.0 L,204 a.g.,Benzin,62 800 km,Avtomat,Arxa,Xeyr,19000 $
Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3 L,150 a.g.,Benzin,245 000 km,Avtomat,Arxa,Xeyr,11600 AZN
Bakı,Mercedes,C 240,2002,Sedan,Gümüşü,2.6 L,177 a.g.,Benzin,184 558 km,Avtomat,Arxa,Xeyr,13500 AZN
Balakən,Mercedes,C 200,1999,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,150 000 km,Mexaniki,Arxa,Xeyr,1130 AZN
Lənkəran,Mercedes,C 32 AMG,2001,Sedan,Gümüşü,3.2 L,354 a.g.,Benzin,204 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 200,1996,Sedan,Ağ,1.8 L,122 a.g.,Benzin,227 000 km,Avtomat,Arxa,Xeyr,8900 AZN
Gəncə,Mercedes,C 240,2000,Sedan,Göy,2.4 L,177 a.g.,Benzin,193 934 km,Avtomat,Arxa,Xeyr,10800 AZN
Bərdə,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,120 a.g.,Benzin,203 000 km,Avtomat,Arxa,Xeyr,8100 AZN
Bakı,Mercedes,C 240,2001,Sedan,Qara,2.5 L,150 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,12000 AZN
Bakı,Mercedes,C 200,1999,Universal,Yaş Asfalt,2.0 L,136 a.g.,Benzin,383 504 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 200,1996,Sedan,Ağ,2.0 L,136 a.g.,Benzin,335 000 km,Avtomat,Arxa,Xeyr,9300 AZN
Ağdam,Mercedes,C 180,1998,Sedan,Ağ,1.8 L,140 a.g.,Benzin,192 000 km,Avtomat,Arxa,Xeyr,11900 AZN
Naftalan,Mercedes,C 220,2001,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,355 500 km,Mexaniki,Arxa,Xeyr,13000 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 250,2014,Sedan,Ağ,1.8 L,204 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20800 $
Bakı,Mercedes,C 180,1997,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,515 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Xırdalan,Mercedes,C 240,2001,Sedan,Gümüşü,2.6 L,177 a.g.,Benzin,371 500 km,Avtomat,Arxa,Xeyr,11900 AZN
Masallı,Mercedes,C 200,1994,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,390 000 km,Avtomat,Arxa,Xeyr,8550 AZN
Bakı,Mercedes,C 220,1995,Sedan,Yaşıl,2.2 L,146 a.g.,Benzin,223 000 km,Avtomat,Arxa,Xeyr,8400 AZN
Bakı,Mercedes,C 320,2001,Sedan,Gümüşü,3.2 L,224 a.g.,Benzin,327 220 km,Avtomat,Arxa,Xeyr,10800 AZN
Bakı,Mercedes,C 240,1999,Universal,Gümüşü,2.4 L,170 a.g.,Benzin,430 203 km,Avtomat,Arxa,Xeyr,10600 AZN
Bakı,Mercedes,C 180,1998,Sedan,Göy,1.8 L,122 a.g.,Benzin,459 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,320 000 km,Avtomat,Arxa,Xeyr,10900 AZN
Bakı,Mercedes,C 200,2000,Universal,Göy,2.0 L,136 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 220,1994,Sedan,Ağ,2.2 L,146 a.g.,Benzin,320 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Balakən,Mercedes,C 200,1998,Sedan,Qara,2.0 L,136 a.g.,Benzin,286 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 220,1999,Universal,Gümüşü,2.2 L,140 a.g.,Dizel,354 000 km,Avtomat,Arxa,Xeyr,12000 AZN
İmişli,Mercedes,C 180,1998,Sedan,Göy,1.8 L,122 a.g.,Benzin,405 442 km,Avtomat,Arxa,Xeyr,10500 AZN
Şəmkir,Mercedes,C 200,1995,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,461 500 km,Avtomat,Arxa,Xeyr,8200 AZN
Sabirabad,Mercedes,C 240,2002,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,178 000 km,Avtomat,Arxa,Xeyr,12000 AZN
Gəncə,Mercedes,C 180,1995,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,293 612 km,Mexaniki,Arxa,Xeyr,9200 AZN
Balakən,Mercedes,C 180,1997,Universal,Göy,1.8 L,122 a.g.,Benzin,235 000 km,Mexaniki,Arxa,Xeyr,8600 AZN
Bakı,Mercedes,C 250,2014,Sedan,Ağ,1.8 L,204 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20800 $
Bakı,Mercedes,C 220,1997,Sedan,Gümüşü,2.2 L,136 a.g.,Dizel,530 000 km,Avtomat,Arxa,Xeyr,9800 AZN
Tovuz,Mercedes,C 200,1999,Sedan,Göy,2.0 L,136 a.g.,Benzin,264 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Xırdalan,Mercedes,C 180,1994,Sedan,Göy,1.8 L,122 a.g.,Benzin,411 800 km,Avtomat,Arxa,Xeyr,7500 AZN
Göyçay,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,210 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,224 000 km,Avtomat,Tam,Xeyr,10600 AZN
Bakı,Mercedes,C 240,2001,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,439 225 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 180,1995,Sedan,Ağ,1.8 L,122 a.g.,Benzin,456 185 km,Avtomat,Arxa,Xeyr,10200 AZN
Bakı,Mercedes,C 200,2002,Sedan,Göy,2.0 L,163 a.g.,Benzin,219 625 km,Avtomat,Arxa,Xeyr,11000 AZN
Beyləqan,Mercedes,C 180,1999,Sedan,Göy,1.8 L,122 a.g.,Benzin,167 340 km,Avtomat,Arxa,Xeyr,12000 AZN
Bakı,Mercedes,C 200,1999,Universal,Gümüşü,2.0 L,136 a.g.,Benzin,276 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Sumqayıt,Mercedes,C 220,1998,Sedan,Boz,2.2 L,146 a.g.,Dizel,299 304 km,Avtomat,Arxa,Xeyr,11300 AZN
Bakı,Mercedes,C 220,1999,Sedan,Gümüşü,2.2 L,143 a.g.,Dizel,532 000 km,Avtomat,Arxa,Xeyr,14300 AZN
Bakı,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,461 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 200,2005,Sedan,Ağ,2.2 L,136 a.g.,Dizel,285 000 km,Mexaniki,Arxa,Xeyr,16500 AZN
Bakı,Mercedes,C 230,2000,Sedan,Qara,2.3 L,150 a.g.,Benzin,145 000 km,Avtomat,Arxa,Xeyr,12000 AZN
Bakı,Mercedes,C 180,1997,Sedan,Göy,1.8 L,122 a.g.,Benzin,256 000 km,Avtomat,Arxa,Xeyr,10900 AZN
Sumqayıt,Mercedes,C 250,2012,Sedan,Ağ,1.8 L,245 a.g.,Benzin,65 000 km,Avtomat,Arxa,Xeyr,18900 $
Bakı,Mercedes,C 280,1994,Sedan,Gümüşü,2.8 L,193 a.g.,Benzin,254 888 km,Avtomat,Tam,Xeyr,4300 AZN
Bakı,Mercedes,C 180,1997,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,430 000 km,Mexaniki,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 200,1996,Sedan,Göy,2.0 L,136 a.g.,Benzin,225 000 km,Avtomat,Arxa,Xeyr,9000 AZN
Bakı,Mercedes,C 240,2001,Sedan,Qara,2.6 L,170 a.g.,Benzin,320 000 km,Avtomat,Arxa,Xeyr,5900 $
Bakı,Mercedes,C 200,1994,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,265 237 km,Avtomat,Arxa,Xeyr,9250 AZN
Xaçmaz,Mercedes,C 230,1998,Sedan,Qara,2.3 L,150 a.g.,Benzin,270 000 km,Avtomat,Arxa,Xeyr,11100 AZN
Bakı,Mercedes,C 240,2003,Sedan,Qara,2.6 L,280 a.g.,Benzin,195 000 km,Avtomat,Arxa,Xeyr,12900 AZN
Bakı,Mercedes,C 240,1997,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,258 000 km,Avtomat,Arxa,Xeyr,11400 AZN
Qusar,Mercedes,C 240,1997,Sedan,Boz,2.4 L,170 a.g.,Benzin,289 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 220,1995,Sedan,Gümüşü,2.2 L,146 a.g.,Benzin,134 000 km,Avtomat,Arxa,Xeyr,9300 AZN
Göyçay,Mercedes,C 250,2006,Sedan,Yaş Asfalt,2.5 L,204 a.g.,Benzin,287 000 km,Avtomat,Arxa,Xeyr,13700 AZN
Bakı,Mercedes,C 230,1999,Sedan,Ağ,2.3 L,150 a.g.,Benzin,208 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 200,2018,Sedan,Boz,1.5 L,185 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,53500 $
Şirvan,Mercedes,C 200,1995,Sedan,Qəhvəyi,2.0 L,136 a.g.,Benzin,500 000 km,Avtomat,Arxa,Xeyr,6600 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN
Bakı,Mercedes,C 250,2014,Sedan,Ağ,1.8 L,204 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20800 $
Bakı,Mercedes,C 220,1999,Sedan,Gümüşü,2.2 L,143 a.g.,Dizel,325 098 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,1997,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,266 000 km,Avtomat,Arxa,Xeyr,9000 AZN
Neftçala,Mercedes,C 220,1995,Sedan,Qızılı,2.2 L,146 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,9000 AZN
Bakı,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,237 000 km,Avtomat,Arxa,Xeyr,11800 AZN
Sumqayıt,Mercedes,C 180,1996,Sedan,Boz,1.8 L,122 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.5 L,150 a.g.,Benzin,135 000 km,Avtomat,Arxa,Xeyr,16000 AZN
Bakı,Mercedes,C 200,2000,Sedan,Göy,2.0 L,136 a.g.,Benzin,317 250 km,Mexaniki,Arxa,Xeyr,11000 AZN
Sumqayıt,Mercedes,C 180,1997,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,234 500 km,Mexaniki,Arxa,Xeyr,9900 AZN
Qusar,Mercedes,C 180,1998,Universal,Boz,1.8 L,122 a.g.,Benzin,284 000 km,Mexaniki,Arxa,Xeyr,10000 AZN
Bakı,Mercedes,C 200,1996,Sedan,Qara,2.0 L,136 a.g.,Benzin,230 000 km,Avtomat,Arxa,Xeyr,9000 AZN
Ucar,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,337 973 km,Avtomat,Arxa,Xeyr,8100 AZN
Bakı,Mercedes,C 180,1997,Sedan,Qara,1.8 L,122 a.g.,Benzin,345 000 km,Avtomat,Arxa,Xeyr,9600 AZN
Bakı,Mercedes,C 230,1998,Sedan,Ağ,2.3 L,150 a.g.,Benzin,254 000 km,Avtomat,Arxa,Xeyr,11800 AZN
Bakı,Mercedes,C 250,2014,Sedan,Qara,1.8 L,204 a.g.,Benzin,58 000 km,Avtomat,Arxa,Xeyr,20500 $
Ağdaş,Mercedes,C 220,1995,Sedan,Yaşıl,2.2 L,146 a.g.,Benzin,300 000 km,Mexaniki,Arxa,Xeyr,8000 AZN
Bakı,Mercedes,C 230,2000,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,226 304 km,Avtomat,Arxa,Xeyr,12500 AZN
Biləsuvar,Mercedes,C 220,2000,Universal,Qara,2.2 L,143 a.g.,Dizel,350 000 km,Avtomat,Arxa,Xeyr,12000 AZN
Bakı,Mercedes,C 220,2006,Universal,Qara,2.2 L,146 a.g.,Dizel,180 000 km,Avtomat,Arxa,Xeyr,18500 AZN
Bakı,Mercedes,C 180,1997,Sedan,Göy,1.8 L,122 a.g.,Benzin,336 000 km,Avtomat,Arxa,Xeyr,9700 AZN
Bakı,Mercedes,C 220,1999,Sedan,Qara,2.2 L,143 a.g.,Dizel,325 000 km,Avtomat,Arxa,Xeyr,12800 AZN
Bakı,Mercedes,C 200,1998,Sedan,Tünd qırmızı,2.0 L,136 a.g.,Benzin,256 020 km,Avtomat,Arxa,Xeyr,11300 AZN
Bakı,Mercedes,C 180,1997,Universal,Qara,2.0 L,122 a.g.,Benzin,278 000 km,Mexaniki,Arxa,Xeyr,9800 AZN
Bakı,Mercedes,C 200,1999,Sedan,Yaşıl,2.0 L,136 a.g.,Benzin,235 000 km,Avtomat,Arxa,Xeyr,11900 AZN
Sumqayıt,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,217 300 km,Avtomat,Arxa,Xeyr,12000 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN
Bakı,Mercedes,C 180,2018,Sedan,Qara,1.6 L,150 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,50999 $
Bakı,Mercedes,C 250,2014,Sedan,Ağ,1.8 L,204 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20800 $
Bakı,Mercedes,C 180,1999,Sedan,Qara,1.8 L,122 a.g.,Benzin,188 000 km,Mexaniki,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 220,2000,Universal,Gümüşü,2.2 L,177 a.g.,Dizel,312 000 km,Avtomat,Arxa,Xeyr,12900 AZN
Bakı,Mercedes,C 240,1999,Sedan,Ağ,2.4 L,170 a.g.,Benzin,253 000 km,Avtomat,Arxa,Xeyr,13000 AZN
Bakı,Mercedes,C 200,1999,Sedan,Göy,2.0 L,146 a.g.,Benzin,174 000 km,Avtomat,Arxa,Xeyr,13000 AZN
Bakı,Mercedes,C 280,1995,Sedan,Boz,2.8 L,193 a.g.,Benzin,290 000 km,Avtomat,Arxa,Xeyr,7000 AZN
Lənkəran,Mercedes,C 180,1994,Sedan,Qəhvəyi,1.8 L,122 a.g.,Benzin,220 000 km,Mexaniki,Arxa,Xeyr,7500 AZN
Göyçay,Mercedes,C 180,1997,Sedan,Qara,1.8 L,122 a.g.,Benzin,290 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bərdə,Mercedes,C 230,1997,Sedan,Ağ,2.3 L,150 a.g.,Benzin,251 000 km,Avtomat,Arxa,Xeyr,12800 AZN
Bakı,Mercedes,C 180,1996,Sedan,Göy,1.8 L,122 a.g.,Benzin,346 546 km,Avtomat,Arxa,Xeyr,9999 AZN
Bakı,Mercedes,C 180,1997,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,216 184 km,Avtomat,Arxa,Xeyr,9500 AZN
